NTROQUEL	NOMBRE COMERCIAL	PRESENTACION	LABORATORIO	PVP	PSL
4779441	ACTOS	15 mg comp.x 15	Abbott	122	61
4779442	ACTOS	15 mg comp.x 30	Abbott	203	102
4779521	ACTOS	30 mg comp.x 15	Abbott	142	71
4779522	ACTOS	30 mg comp.x 30	Abbott	221	111
4779601	ACTOS	45 mg comp.x 15	Abbott	48	24
4779602	ACTOS	45 mg comp.x 30	Abbott	112	56
5581391	ACTOS M	500 mg/15 mg comp.x 15	Abbott	94	47
5581392	ACTOS M	500 mg/15 mg comp.x 30	Abbott	346	173
5581421	ACTOS M	850 mg/15 mg comp.x 15	Abbott	330	165
5581422	ACTOS M	850 mg/15 mg comp.x 30	Abbott	305	153
4021991	ADVERA	Chocolate env.x 237 ml	Abbott	20	10
9925619	ADVERA	Vainilla env.x 237 ml	Abbott	10	5
1771561	AKINETON RETARD	caps.x 30	Abbott	33	17
2756112	AMINOACIDOS ABBOTT	10% env.x 500 ml	Abbott	78	39
2756032	AMINOACIDOS ABBOTT	7% env.x 500 ml	Abbott	22	11
9925618	ATRACURIO ABBOTT	iny.a.x 10 x 5 ml	Abbott	996	498
5395711	AVONEX	IM jer.prell.x 1 ml x 4	Abbott	18081	9041
4488962	AVONEX BIOSET	IM pvo.liof.kit x 4	Abbott	16154	8077
2315302	BELIAM	250 mg sol.x 90 ml	Abbott	18	9
2315723	BELIAM	500 mg caps.x 16	Abbott	30	15
9948041	BETASERC	16 mg comp.x 30	Abbott	110	55
9948042	BETASERC	24 mg comp.x 30	Abbott	117	59
3161503	CALCITRIOL ABBOTT	1 mcg a.x 10	Abbott	169	85
3161502	CALCITRIOL ABBOTT	1 mcg a.x 5	Abbott	45	23
3161683	CALCITRIOL ABBOTT	2 mcg a.x 10	Abbott	257	129
3161682	CALCITRIOL ABBOTT	2 mcg a.x 5	Abbott	74	37
9942422	CD COPILOT	cd (software) x 1	Abbott	149	75
4872161	CHIROCAINE	0.25% a.x 10 x 10 ml	Abbott	270	135
4872241	CHIROCAINE	0.50% a.x 10 x 10 ml	Abbott	127	64
4872321	CHIROCAINE	0.75% a.x 10 x 10 ml	Abbott	151	76
3815591	CLIVARIN	0.25 mg jga.prell.x 2	Abbott	36	18
3815592	CLIVARIN	0.25 mg jga.prell.x 5	Abbott	49	25
6043	COBENZIL COMPUESTO	jbe.x 120 ml	Abbott	12	6
2311341	COFRON	Ad.jbe.x 120 ml	Abbott	36	18
9950923	COFRON	Ped.jbe.x 100 ml	Abbott	42	21
2130412	COFRON	Ped.jbe.x 120 ml	Abbott	26	13
9950922	COFRON	Ped.jbe.x 180 ml	Abbott	42	21
3956591	DAROB	160 mg comp.x 20	Abbott	47	24
3956411	DAROB	80 mg comp.x 20	Abbott	20	10
3956412	DAROB	80 mg comp.x 50	Abbott	22	11
3956413	DAROB	80 mg comp.x 60	Abbott	76	38
4564	DAYAMINERAL	Filmtab comp.x 50	Abbott	43	22
7293	DAYAMINERAL	jbe.x 120 ml	Abbott	42	21
9939512	DIGITOPUNZOR P/PRECISION/OPTIUM/OPTIUM XCEED	Easy Touch c/10 lancetas	Abbott	80	40
9928677	ENSURE	Fresa pvo.x 400 g	Abbott	44	22
9927080	ENSURE	Vainilla pvo.x 1000 g	Abbott	101	51
3579562	ENSURE CON FIBRA	Chocolate env.x 237 ml	Abbott	10	5
3579561	ENSURE CON FIBRA	Vainilla env.x 237 ml	Abbott	8	4
9914525	ENSURE PLUS	Caf‚ env.x 237 ml	Abbott	6	3
9900024	ENSURE PLUS	Chocolate env.x 237 ml	Abbott	10	5
9912586	ENSURE PLUS	Frutilla env.x 237 ml	Abbott	18	9
9912585	ENSURE PLUS	Vainilla env.x 237 ml	Abbott	14	7
9926011	ENSURE PLUS DRINK	Choc.pack x 600ml(3x200)	Abbott	30	15
9926012	ENSURE PLUS DRINK	Frut.pack x 600ml(3x200)	Abbott	19	10
9926013	ENSURE PLUS DRINK	Vain.pack x 600ml(3x200)	Abbott	28	14
9925640	ENSURE POSTRE	Caram.pack x452g(4x113g)	Abbott	22	11
9925638	ENSURE POSTRE	Choc.pack x 452g(4x113g)	Abbott	18	9
9925639	ENSURE POSTRE	Vain.pack x 452g(4x113g)	Abbott	12	6
9943925	FLEXIFLO PATROL	gu¡a c/conex.punz.x30c/u	Abbott	109	55
3023814	FORANE	liq.x 100 ml	Abbott	1138	569
3023812	FORANE	liq.x 125 ml	Abbott	416	208
3023811	FORANE	liq.x 40 ml	Abbott	173	87
3023813	FORANE	liq.x 50 ml	Abbott	542	271
9922810	FOTOPROTECTOR ISDIN	F 15 loc.x 125 ml	Abbott	21	11
4800621	GENGRAF	100 mg caps.x 30	Abbott	347	174
4800622	GENGRAF	100 mg caps.x 50	Abbott	371	186
9927815	GENGRAF	100 mg/ml sol.x 50 ml	Abbott	291	146
4800461	GENGRAF	25 mg caps.x 50	Abbott	286	143
4800541	GENGRAF	50 mg caps.x 50	Abbott	198	99
3634661	GLUCERNA	env.x 237 ml	Abbott	7	4
9949973	GLUCERNA LIQUIDO	vainilla lata x 237 ml	Abbott	26	13
5266601	GLUCERNA SR	Lim¢n lata x 400 g	Abbott	33	17
9945550	GLUCERNA SR	chocolate env.x 237 ml	Abbott	14	7
5266551	GLUCERNA SR	vain.lata x 400 g	Abbott	101	51
5106081	GLUCERNA SR (USO ORAL)	env.x 237 ml	Abbott	42	21
9934845	GLUCERNA SR (USO ORAL)	env.x 237 ml pack x 24	Abbott	330	165
3311	HEPARINA	f.a.x 5 ml	Abbott	6	3
9931050	INHELTHRAN	liq.x 240 ml	Abbott	1041	521
2010962	INHELTHRAN	liq.x 50 ml	Abbott	184	92
2350791	IRUXOL	ung.x 10 g	Abbott	14	7
9914917	ISOMIL	pvo.x 1000 g	Abbott	39	20
9900036	ISOMIL	pvo.x 400 g	Abbott	86	43
9929032	ISOMIL	pvo.x 900 g	Abbott	114	57
3666001	ISONTYN	2 mg comp.x 14	Abbott	72	36
3666181	ISONTYN	5 mg comp.x 14	Abbott	197	99
3666182	ISONTYN	5 mg comp.x 28	Abbott	473	237
4183361	ISOPTINO	120 mg comp.rec.x 30	Abbott	15	8
2661571	ISOPTINO	120 mg grag.x 30	Abbott	30	15
4183101	ISOPTINO	40 mg comp.rec.x 20	Abbott	6	3
464261	ISOPTINO	40 mg grag.x 20	Abbott	5	3
464341	ISOPTINO	80 mg grag.x 30	Abbott	12	6
463431	ISOPTINO	iny.a.x 5 x 2 ml	Abbott	27	14
9926488	JEVITY PLUS	bot.x 1500 ml	Abbott	84	42
9926486	JEVITY PLUS	bot.x 500 ml	Abbott	17	9
4853431	KALETRA	caps.x 180	Abbott	2536	1268
4853512	KALETRA	jbe.x 320 ml	Abbott	1141	571
9926056	KETOROLAC ABBOTT	60 mg f.a.x 12 x 2 ml	Abbott	507	254
3268603	KLARICID	125 mg/5 ml jbe.x 100 ml	Abbott	44	22
3103842	KLARICID	250 mg comp.x 12	Abbott	40	20
4204724	KLARICID UD	comp.x 10	Abbott	44	22
4204721	KLARICID UD	comp.x 4	Abbott	37	19
2763462	LIPIDOS ABBOTT	10% env.x 500 ml	Abbott	64	32
2854382	LIPIDOS ABBOTT	20% env.x 500 ml	Abbott	200	100
2622042	LOFTON	50 mg iny.a.x 6	Abbott	63	32
3003351	LUPRON	kit x 1	Abbott	1271	636
4196311	LUPRON DEPOT 22.5	kit x 1	Abbott	17996	8998
3120091	LUPRON DEPOT 3.75	kit x 1	Abbott	2573	1287
3071251	LUPRON DEPOT 7.5	kit x 1	Abbott	2884	1442
5289212	NIASPAN	1000mg comp.lib.prol.x28	Abbott	146	73
5289092	NIASPAN	500 mg comp.lib.prol.x28	Abbott	50	25
5289143	NIASPAN	750 mg comp.lib.prol.x28	Abbott	70	35
3803531	NORTENSIN	0.5 mg caps.x 28	Abbott	17	9
3803613	NORTENSIN	2 mg caps.x 20	Abbott	32	16
3826561	OGASTO	caps.x 14	Abbott	36	18
3826562	OGASTO	caps.x 28	Abbott	60	30
4346551	OGASTO 15 MG	caps.x 28	Abbott	52	26
9941894	OPTIUM	tiras p/cetonas x 10	Abbott	60	30
9933456	OPTIUM	tiras p/cetonas x 8	Abbott	42	21
9931372	OPTIUM	tiras reac.p/glucosax100	Abbott	530	265
9931370	OPTIUM	tiras reac.p/glucosax25	Abbott	121	61
9931371	OPTIUM	tiras reac.p/glucosax50	Abbott	373	187
9931369	OPTIUM SENSOR	biosensor x 1	Abbott	161	81
9936683	OPTIUM XCEED EQUIPO	eq.+dig.+10 lanc.+manual	Abbott	91	46
9929026	OXEPA	env.x 500 ml	Abbott	25	13
9959827	PANBIO COVID-19 ANTIGEN SELF-TEST	test x 1	Abbott	2715	1358
9918797	PANCRECURA 25000	caps.x 20	Abbott	37	19
3572	PANTOMICINA	IM iny.a.x 3	Abbott	3	2
2138513	PANTOMUCOL	500 mg comp.x 16	Abbott	32	16
2951643	PANTOMUCOL	Ped.Fte.susp.x 90 ml	Abbott	19	10
9915271	PEDIALYTE FRUTAS	sol.x 1000 ml	Abbott	17	9
9923577	PEDIASURE	Banana env.x 237 ml	Abbott	3	2
9942353	PEDIASURE	Chocolate pvo.x 400 g	Abbott	72	36
9923578	PEDIASURE	Frutilla env.x 237 ml	Abbott	6	3
9910203	PEDIASURE	Vainilla env.x 237 ml	Abbott	7	4
9942352	PEDIASURE	Vainilla pvo.x 400 g	Abbott	87	44
9939686	PEDIASURE LIQ.	Chocolate lata x 237 ml	Abbott	31	16
9938830	PEDIASURE LIQ.	Vainilla lata x 237 ml	Abbott	18	9
9948205	PEDIASURE LIQUIDO	Chocolate lata x 237 ml	Abbott	38	19
9948149	PEDIASURE LIQUIDO	Vainilla lata x 237 ml	Abbott	20	10
2876321	PEDIAZOLE	susp.x 100 ml	Abbott	46	23
9918560	PRECISION CONTROL SOLUTIONS	fco.x 2 x 2 ml	Abbott	35	18
9935620	PRECISION LINK	Direct	Abbott	199	100
9932472	PRECISION LINK DATA SYSTEM	Software	Abbott	1203	602
9923073	PRECISION PLUS	tiras reactivas x 100	Abbott	350	175
9918558	PRECISION PLUS	tiras reactivas x 25	Abbott	103	52
9918559	PRECISION PLUS	tiras reactivas x 50	Abbott	269	135
9918561	PRECISION QID AUTOLANCET	inst.+lancetas x 50	Abbott	101	51
9918557	PRECISION QID KIT	inst.+punz.+tiras	Abbott	71	36
3083051	PROCORUM	50 mg comp.x 30	Abbott	9	5
3083052	PROCORUM	50 mg comp.x 50	Abbott	26	13
9927591	PROPOFOL ABBOTT	10 mg/ml a.x 5 x 20 ml	Abbott	230	115
4430361	PROPOFOL ABBOTT	10 mg/ml f.a.x 1	Abbott	66	33
3443331	PULMOCARE	env.x 237 ml	Abbott	16	8
4449771	RADUCTIL	10 mg caps.x 30	Abbott	111	56
4449851	RADUCTIL	15 mg caps.x 30	Abbott	93	47
4623671	RITONAVIR ABBOTT	caps.x 168	Abbott	2232	1116
4107541	RITONAVIR ABBOTT	sol.oral x 240 ml	Abbott	1002	501
1720152	RONDEC	comp.x 24	Abbott	19	10
1720492	RONDEC	gts.x 20 ml	Abbott	17	9
1720233	RONDEC	jbe.x 120 ml	Abbott	13	7
3012342	RONDEC COMPOSITUM	comp.x 20	Abbott	19	10
3011272	RONDEC COMPOSITUM	jbe.x 120 ml	Abbott	24	12
183	SELSUN	susp.x 120 ml	Abbott	6	3
184	SELSUN	susp.x 240 ml	Abbott	22	11
9910894	SELSUN AZUL	Extra medicado x 120 ml	Abbott	7	4
9910895	SELSUN AZUL	Extra medicado x 240 ml	Abbott	12	6
9910893	SELSUN AZUL	Extra medicado x 60 ml	Abbott	4	2
9903067	SELSUN AZUL	Extra suave env.x 120 ml	Abbott	9	5
9903077	SELSUN AZUL	Extra suave env.x 240 ml	Abbott	20	10
9903060	SELSUN AZUL	Extra suave env.x 60 ml	Abbott	5	3
9936399	SEVORANE	env.x 100 ml	Abbott	466	233
9915226	SIMILAC CON HIERRO	lata x 1000 g	Abbott	14	7
9915225	SIMILAC CON HIERRO	lata x 450 g	Abbott	17	9
9947912	SIMILAC HUMAN MILK FORTIFIER	sob.x 50 x 0.9 g c/u	Abbott	464	232
9946973	SIMILAC NEOSURE	Botella de 59 ml x 12 u.	Abbott	257	129
9946458	SIMILAC SPECIAL CARE 20	Botella de 59 ml x 12 u.	Abbott	323	162
9946459	SIMILAC SPECIAL CARE 24	Botella de 59 ml x 12 u.	Abbott	150	75
9948035	SIMILAC SPECIAL CARE 24	Botella de 59 ml x 48 u.	Abbott	1628	814
9946461	SIMILAC SPECIAL CARE 30	Botella de 59 ml x 12 u.	Abbott	225	113
9947751	SIMILAC SPECIAL CARE 30	Botella de 59 ml x 48 u.	Abbott	956	478
9946460	SIMILAC SPECIAL CARE HP 24	Botella de 59 ml x 12 u.	Abbott	160	80
9948010	SIMILAC SPECIAL CARE HP 24	Botella de 59 ml x 48 u.	Abbott	1140	570
9948338	SIMILAC TOTAL COMFORT 1+	12a24 meses lata x 360 g	Abbott	172	86
3018202	SOMNATROL	2 mg comp.x 30	Abbott	39	20
9918814	SUPLENA	env.x 237 ml	Abbott	17	9
5072324	SYNTHROID	100 mcg comp.x 60	Abbott	29	15
5072484	SYNTHROID	112 mcg comp.x 60	Abbott	50	25
5072534	SYNTHROID	125 mcg comp.x 60	Abbott	67	34
5840711	SYNTHROID	137 mcg comp.x 60	Abbott	44	22
5072694	SYNTHROID	150 mcg comp.x 60	Abbott	42	21
5071934	SYNTHROID	25 mcg comp.x 60	Abbott	21	11
5072064	SYNTHROID	50 mcg comp.x 60	Abbott	40	20
5072114	SYNTHROID	75 mcg comp.x 60	Abbott	55	28
5072274	SYNTHROID	88 mcg comp.x 60	Abbott	47	24
4409911	TARKA	comp.lib.modif.x 30	Abbott	142	71
4346051	TIADYL	16 mg comp.x 15	Abbott	163	82
4345981	TIADYL	8 mg comp.x 15	Abbott	152	76
4963871	TIADYL PLUS	16 mg comp.x 15	Abbott	126	63
2057672	TORFAN H	gts.x 20 ml	Abbott	14	7
2057592	TORFAN H	jbe.x 120 ml	Abbott	16	8
4949721	UPRIMA	2 mg comp.x 2	Abbott	46	23
4949722	UPRIMA	2 mg comp.x 4	Abbott	33	17
4949801	UPRIMA	3 mg comp.x 2	Abbott	29	15
4949802	UPRIMA	3 mg comp.x 4	Abbott	42	21
9942421	USB CABLE OPTIUM MINI	cable x 1	Abbott	1160	580
9942420	USB CABLE OPTIUM XCEED	cable x 1	Abbott	748	374
9920292	VANCOMICINA ABBOTT	Fliptop 0.50 g f.a.x 1	Abbott	10	5
9920293	VANCOMICINA ABBOTT	Fliptop 1 g f.a.x 1	Abbott	26	13
3712291	VITAMINA A ABBOTT	25000 UI caps.x 25	Abbott	30	15
3712292	VITAMINA A ABBOTT	25000 UI caps.x 50	Abbott	51	26
4723	ZANTRIL	jbe.x 120 ml	Abbott	7	4
4564353	ZOLEPTIL	100 mg comp.x 30	Abbott	99	50
4564356	ZOLEPTIL	100 mg comp.x 60	Abbott	96	48
4564271	ZOLEPTIL	25 mg comp.x 10	Abbott	11	6
4564433	ZOLEPTIL	50 mg comp.x 30	Abbott	55	28
9910330	CAMINOL	sol.x 7 ml	G‚minis	6	3
391417	GEMIPASMOL	comp.x 10	G‚minis	9	5
74097	LEROID	gts.¢ticas x 10 ml	G‚minis	16	8
9931377	MAYERLING	cr.manos x 225 g	G‚minis	9	5
9910336	MUDAGRIP	comp.x 16	G‚minis	6	3
73958	MUDAGRIP	comp.x 8	G‚minis	4	2
74188	MUDANTOS H	jbe.x 120 ml	G‚minis	14	7
74039	MUDAPENIL	pda.x 15 g	G‚minis	11	6
9910339	MUDAVIT	cr.x 50 g	G‚minis	7	4
74034	NASOJOL	colir.x 10 ml	G‚minis	8	4
391441	NEO-MUDAPENIL	pda.x 15 g	G‚minis	9	5
391392	NEOTOSEL	Ad.jbe.x 120 ml	G‚minis	14	7
391409	NEOTOSEL	Ped.jbe.x 120 ml	G‚minis	6	3
9910423	PECHOVIT	caram.x 10	G‚minis	9	5
74089	PECHOVIT	jbe.x 120 ml	G‚minis	9	5
391376	PECHOVIT	s/az£car jbe.x 120 ml	G‚minis	6	3
74120	PECHOVIT INFANTIL	jbe.x 120 ml	G‚minis	14	7
57613	PECHOVIT PECTORAL	pda.x 25 g	G‚minis	8	4
9924259	SAPUCAI	cr.enj.x 120 ml	G‚minis	13	7
9922513	SAPUCAI DUO	shamp.+cr.enj.x 120 ml	G‚minis	6	3
391368	SICADENTOL PLUS	comp.x 10	G‚minis	7	4
74170	SICADENTOL PLUS	sol.x 7 ml	G‚minis	16	8
391425	TRIEFECT	cr.x 15 g	G‚minis	12	6
9947612	DESINFECTOL ALBULA	spray x 190 ml	Laboratorio Alb	103	52
9947611	DESINFECTOL ALBULA	spray x 65 ml	Laboratorio Alb	62	31
9949822	MAWUII CREMA DE ORDE¥E	pote x 200 g	Laboratorio Alb	758	379
9941161	PELENTE	cr.x 50 g	Laboratorio Alb	849	425
9941160	PELENTE	loc.vap.x 120 ml	Laboratorio Alb	1284	642
9960021	PELENTE DEEP FOREST	aerosol x 170 ml	Laboratorio Alb	681	341
9953299	PELENTE DEEP FOREST	loc.x 120 ml	Laboratorio Alb	1080	540
9953160	PELENTE DEEP FOREST	loc.x 190 ml	Laboratorio Alb	1934	967
9949823	PELENTE RE	loc.vap.x 190 ml	Laboratorio Alb	643	322
2247252	ALCON A E	caps.x 30	Alcon	76	38
9900136	ALCON LAGRIMAS	sol.oft.x 15 ml	Alcon	2442	1221
9914977	ALCON LAGRIMAS	ung.oft.x 3.5 g	Alcon	1483	742
9911148	ALCON LAGRIMAS II	fco.x 15 ml	Alcon	1141	571
2193461	ALCON MYDRIL	1% sol.oft.x 5 ml	Alcon	2036	1018
3376191	ALOMIDE	sol.oft.x 5 ml	Alcon	41	21
2029611	ANESTALCON	fco.x 15 ml	Alcon	2315	1158
9955504	AOSEPT PLUS	sol.p/lentes x 360 ml	Alcon	610	305
9956595	AOSEPT PLUS CON HYDRAGLYDE	sol.x 360 ml	Alcon	3541	1771
5910391	AZARGA	fco.x 5 ml	Alcon	3084	1542
4460481	AZOPT	1% susp.oft.x 5 ml	Alcon	4380	2190
9926306	BA¥OFTAL	sol.oft.x 200 ml	Alcon	28	14
3012421	BETASEL	0.5% fco.x 5 ml	Alcon	137	69
3430121	BETASEL S	0.25% fco.x 5 ml	Alcon	116	58
2063191	CICLOPENAL	1% sol.x 5 ml	Alcon	78	39
3187421	CILOXAN	sol.oft.x 5 ml	Alcon	297	149
3187501	CILOXAN	ung.oft.x 3.5 g	Alcon	52	26
4493072	CIPRO HC OTICO	susp.¢tica x 10 ml	Alcon	67	34
4678622	CIPRO OTICO	sol.¢tica x 5 ml	Alcon	65	33
4711361	DESPEX	1 mg spray nas.x 200 ds.	Alcon	30	15
3189582	DUNASON	sol.oft.x 15 ml	Alcon	85	43
3189583	DUNASON	sol.oft.x 5 ml	Alcon	47	24
5582421	DUOTRAV	sol.oft.x 2.5 ml	Alcon	4021	2011
4002681	ELEBLOC	1% sol.oft.x 5 ml	Alcon	51	26
4002761	ELEBLOC	2% sol.oft.x 5 ml	Alcon	68	34
3429991	FLAREX	susp.oft.x 5 ml	Alcon	3853	1927
9911818	FLUORESCITE	10% a.x 12	Alcon	258	129
9930133	FLUORESCITE	10% a.x 3	Alcon	124	62
3096181	GEL CARPINA	4% gel oft.x 5 g	Alcon	42	21
4629533	GENTEAL	fco.gotero x 10 ml	Alcon	142	71
4629532	GENTEAL	fco.gotero x 15 ml	Alcon	162	81
4951281	GENTEAL	gel oft.x 10 ml	Alcon	108	54
837671	HIDROCORTIN	ung.unidosis x 16	Alcon	41	21
3730350	ICAPS PLUS	tab.x 60	Alcon	110	55
6283131	ILEVRO	0.3% susp.oft.est.x 3 ml	Alcon	463	232
3848262	IOPIDINE	0.5% fco.gotero x 5 ml	Alcon	61	31
3157802	ISLY	sol.oft.x 15 ml	Alcon	57	29
17851	ISOPTO ATROPINA	1% sol.oft.x 5 ml	Alcon	1720	860
